Q,A,I
"Các Trường đại học khác có ngành Công nghệ thông tin (CNTT), Trường ĐHBK chỉ có hai ngành: Khoa học Máy tính (KHMT) và ngành Kỹ thuật Máy tính (KTMT). Vậy hai ngành này có giống với ngành CNTT của các Trường ĐH khác không?","
Tại ĐH Bách Khoa, Khoa KH & KT Máy tính, đào tạo 2 ngành Khoa học Máy tính và Kỹ thuật Máy tính. Từ khóa 2019, ngành Khoa học Máy tính bao gồm 6 chuyên ngành:
1) Khoa học Máy tính, 
2) Công nghệ dữ liệu bảo mật & trí tuệ kinh doanh, 
3) Công nghệ phần mềm, 
4) Mật mã và an ninh mạng, 
5) Trí tuệ nhân tạo và ứng dụng, 
6) Xử lý ảnh và Thị giác máy tính. 
Ngành Kỹ thuật Máy tính bao gồm 3 chuyên ngành:
1) Kỹ thuật Máy tính, 
2) Hệ thống tính toán hiện đại, 
3) Internet vạn vật và an ninh mạng. 
Có thể hiểu, Công nghệ Thông tin là tên gọi chung, chỉ 1 nhóm môn học mà trong quá trình học 1 trong 2 ngành kể trên, các em sẽ được cung cấp kiến thức về nó.
",4
Khác nhau giữa ngành KHMT và KTMT?,"
KHMT:
Ngành Khoa học Máy tính thuộc nhóm ngành Máy tính và Công nghệ thông tin. Mục tiêu của chương trình ngành Khoa học Máy tính là đào tạo ra những kỹ sư có chất lượng cao, có khả năng thiết kế, xây dựng và triển khai những hệ thống phần mềm đáp ứng nhu cầu trong nước và quốc tế. Kỹ sư tốt nghiệp ngành Khoa học Máy tính cũng được trang bị những kiến thức cần thiết để có thể học tiếp cao học và tiến sỹ trong lĩnh vực Máy tính và Công nghệ thông tin.
 q
Chương trình sẽ trang bị cho sinh viên kiến thức nền tảng thuộc lĩnh vực Máy tính và Công nghệ thông tin, kiến thức cốt lõi ngành Khoa học Máy tính, và kiến thức, công nghệ chuyên sâu của ngành như trí tuệ nhân tạo, bảo mật và an toàn máy tính, xử lý dữ liệu khối lượng lớn từ mạng Internet và các mạng xã hội, thiết kế và phát triển các ứng dụng cho các thiết bị di động và môi trường Web.
Sau khi tốt nghiệp chương trình ngành Khoa học Máy tính của Trường Đại học Bách Khoa, các kỹ sư có thể đảm nhiệm nhiều công việc trong lĩnh vực Máy tính và Công nghệ thông tin như:
-       Thiết kế và xây dựng các phầm mềm máy tính cho các ngân hàng, các tổ chức tài chính, hành chính và thương mại, v.v.
-       Thiết kế và xây dựng các ứng dụng cho các thiết bị di động, ứng dụng thương mại điện tử trên nền Web, các trò chơi trên máy tính và thiết bị di động, v.v.
-       Quản trị và xây dựng các giải pháp đảm bảo an toàn cho các hệ thống máy tính và hệ thống mạng máy tính.
-       Làm việc trong các công ty gia công phần mềm cho các thị trường Mỹ, Nhật và Châu  u.
-       Tư vấn, thẩm định và phát triển các dự án, giải pháp công nghệ thông tin.
KTMT:
Ngành Kỹ thuật Máy tính thuộc nhóm ngành Máy tính và Công nghệ thông tin. Mục tiêu của chương trình ngành Kỹ thuật Máy tính là đào tạo ra những kỹ sư có chất lượng cao, có khả năng thiết kế, xây dựng và triển khai những hệ thống phần mềm và phần cứng cho máy tính và các thiết bị điều khiển nhằm đáp ứng nhu cầu trong nước và quốc tế. Kỹ sư tốt nghiệp ngành Kỹ thuật Máy tính cũng được trang bị những kiến thức cần thiết để có thể học tiếp cao học và tiến sỹ trong lĩnh vực Máy tính và Công nghệ thông tin.
 
Chương trình sẽ trang bị cho sinh viên kiến thức nền tảng thuộc lĩnh vực Máy tính và Công nghệ thông tin, kiến thức cốt lõi ngành Kỹ thuật Máy tính, và kiến thức, công nghệ chuyên sâu của ngành như vi xử lý, vi điều khiển, thiết kế vi mạch, phần mềm nhúng, phần mềm cho các thiết bị điều khiển tự động, robot công nghiệp. 
Sau khi tốt nghiệp chương trình ngành Kỹ thuật Máy tính của Trường Đại học Bách Khoa, các kỹ sư có thể đảm nhiệm nhiều công việc trong lĩnh vực Máy tính và Công nghệ thông tin như:
-       Thiết kế và xây dựng các phầm mềm, phần cứng cho các thiết bị điều khiển tự động như các thiết bị điều khiển trong ô tô, thiết bị điện tử, thiết bị đọc mã vạch, robot công nghiệp, các dây chuyền công nghiệp.
-       Quản trị và xây dựng các giải pháp đảm bảo an toàn cho các hệ thống máy tính và mạng máy tính.
-       Làm việc trong các công ty gia công phần mềm cho các thị trường Mỹ, Nhật và Châu  u.
-       Tư vấn, thẩm định và phát triển các dự án, giải pháp công nghệ thông tin.
",4
"Nếu ban đầu em học ngành KHMT, sau đó, em thấy không phù hợp, em có thể chuyển sang ngành KTMT được không?","
SV được phép chuyển ngành nếu thỏa các điều kiện theo quy định học vụ.
",5
"Em muốn học làm robot, điều khiển từ xa các thiết bị trong gia đình thì em nên học ngành nào?","
Kỹ thuật máy tính là 1 lựa chọn phù hợp.
",6
"Học phí của ngành KHMT, KTMT?","
Tham khảo quy định về mức thu học phí năm học 2022-2023: https://hcmut.edu.vn/dao-tao/hoc-phi
 	Đào tạo đại học, chương trình tiêu chuẩn: Từ khóa 2021: Học phí trọn gói theo học kỳ.
Học phí học kỳ: 13.750.000 VNĐ/HK.
Đơn giá học phí tín chỉ vượt định mức: 805.000 VNĐ/TC.
Đơn giá học phí tín chỉ học lại GDTC: 805.000 VNĐ/TC.
Đào tạo đại học giảng dạy bằng tiếng Anh, định hướng Nhật Bản: Từ khóa 2021: Học phí trọn gói theo học kỳ.
Chương trình		Học phí (VNĐ/HK)	Đơn giá học phí tín chỉ vượt định mức (VNĐ/HK)
CLC/TT/LKQT/CTQT	36.000.000			2.220.000
CLC-TCTN, TCTN		27.500.000			980.000
",7
"Khi học xong ngành KHMT, KTMT, em có được đi dạy không?","
Em có thể đi dạy sau khi tốt nghiệp đại học, tùy vào tiêu chuẩn của cơ sở tuyển dụng.
",8
Trường có Ký túc Xá không? Em có được ở KTX không?,"
Trường có KTX tại quận 10 & KTX thuộc KTX ĐHQG-TpHCM, để được xem xét ở KTX em cần thỏa các điều kiện do KTX đưa ra.
",9
Em học ngành KHMT ra Trường có việc làm không?,"
Cơ hội việc làm cho ngành KHMT là rất lớn, …
",8
Trường có giới thiệu việc làm cho em không?,"
Hằng năm, Khoa & Trường đều tổ chức ngày hội việc làm để em có cơ hội học hỏi, trao đổi và tham dự phỏng vấn với nhà tuyển dụng. Ngay từ năm 3, các em đã đi thực tập với các doanh nghiệp có liên hệ với Khoa/Trường, nếu năng lực của em phù hợp với yêu cầu của công ty em có thể có việc làm bán thời gian/toàn thời gian ngay từ thời điểm này.
",8
"Em học ngành KTMT hoặc KHMT, em có thể đi du học được không?","
Em có thể du học tự túc hoặc bằng học bổng. Hằng năm, Trường đều phổ biến thông tin về cơ hội học bổng/ du học cho sinh viên thông qua website Khoa, Trường và nhiều kênh khác. 
",10
