Q,PTTuyen_sinh,tg_đk,HSTuyen_sinh,so_sanh_nganh,chuyen_nganh,chon_nganh,hoc_phi,trien_vong_nn,KTX,du_hoc,dau_vao,hoan_nghia_vu,dao_tao_sau_dh,chuong_trinh_dao_tao,dia_diem_hoc,uy_tin,them,dk_mon,tg_tra_kq,khoi_tuyen_sinh,phan_mem
"Các Trường đại học khác có ngành Công nghệ thông tin (CNTT), Trường ĐHBK chỉ có hai ngành: Khoa học Máy tính (KHMT) và ngành Kỹ thuật Máy tính (KTMT). Vậy hai ngành này có giống với ngành CNTT của các Trường ĐH khác không?",False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Khác nhau giữa ngành KHMT và KTMT?,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Nếu ban đầu em học ngành KHMT, sau đó, em thấy không phù hợp, em có thể chuyển sang ngành KTMT được không?",False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Em muốn học làm robot, điều khiển từ xa các thiết bị trong gia đình thì em nên học ngành nào?",False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Học phí của ngành KHMT, KTMT?",False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Khi học xong ngành KHMT, KTMT, em có được đi dạy không?",False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Trường có Ký túc Xá không? Em có được ở KTX không?,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Em học ngành KHMT ra Trường có việc làm không?,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Trường có giới thiệu việc làm cho em không?,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
"Em học ngành KTMT hoặc KHMT, em có thể đi du học được không?",False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
"Em ở quê, chưa được học viết chương trình, em có thể học được ngành KHMT không?",False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Trường có giới thiệu em miễn nghĩa vụ quân sự không?,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Trường có cho em vay tiền đóng tiền học phí không?,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Sau khi em ra Trường, em có được học tiếp lên cao nữa hay không?",False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
"Em học không giỏi lắm, em nên học ngành nào? (KHMT, KTMT)",False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Học phí có đắt không?,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Em có nghe chương trình tiên tiến. Vậy chương trình tiên tiến là gì?,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
"Em nghe bạn em nói, Trường ĐHBK có cơ sở ở Thủ Đức. Nếu em đăng ký học ngành KHMT, em học ở cơ sở nào?",False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
"Em thích làm web, em nên học ngành nào?",False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Học ngành KHMT, KTMT mất bao nhiêu năm?",False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
"Em nghe bạn em nói học ngành KHMT khó lắm, mà em học không giỏi môn vật lý, em học có được không?",False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
"Ở Trường em dưới quê, em chỉ có học word, excel, window. Vậy, em có học được ngành KTMT không?",False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
"Ngành KHMT và KTMT, ngành học nào dễ hơn.",False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Sau khi học 1 thời gian, em muốn chuyển ngành khác hoặc chuyển hình thức đào tạo thì có được phép không? Vd từ ngành KHMT sang ngành KTMT, vd từ chương trình chất lượng cao sang chương trình chính quy đại trà?",False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Khoa KH & KT Máy tính có đào tạo song ngành hay không?,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Khoa KH & KT Máy tính có chương trình liên thông hay không?,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Khoa KH & KT Máy tính có chương trình dành cho người vừa đi làm vừa đi học hay không? Thí sinh cần tham gia thi tuyển hay chỉ cần xét tuyển?,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Ngành Kỹ thuật Máy tính là ngành học về vấn đề gì?,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Sự khác biệt giữa ngành Kỹ thuật Máy tính và ngành Khoa học Máy tính ở trường Đại học Bách khoa – ĐHQG TPHCM là gì?,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Sự khác biệt giữa Kỹ thuật Máy tính và Công nghệ thông tin là gì?,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Có các chuyên ngành/hướng nào trong ngành Kỹ thuật Máy tính?,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Có cần phải có kiến thức/kỹ năng gì để học được ngành KTMT?,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Có thể học về trí tuệ nhân tạo trong ngành KTMT không?,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Có thể học về an ninh mạng trong ngành KTMT không?,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Có thể học về IoT trong ngành KTMT không?,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Có thể học về hệ thống nhúng trong ngành KTMT không?,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Có thể học về tính toán hiệu năng cao – điện toán đám mây trong ngành KTMT không?,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Có thể học về thiết kế chip/thiết kế vi mạch trong ngành KTMT không?,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Các thành tích nổi bật của SV ngành KTMT trong những năm qua là gì?,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Nếu cần thêm thông tin hoặc cần tư vấn về ngành Kỹ thuật Máy tính thì liên hệ ở đâu?,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Hồ sơ xét tuyển theo phương thức 2 bị sai nơi sinh thì phải làm sao?,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Điểm xét tuyển theo phương thức 2 Ưu tiên xét tuyển có được cộng thêm điểm thưởng khi có các thành tích khác không ạ?,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Em thi tổ hợp các môn Khoa học xã hội thì có xét tuyển được vào ngành Công nghệ Thông tin không ạ?,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Hồ sơ xét tuyển theo phương thức 2 của em bị sai thông tin khu vực ưu tiên thì có cần nộp lại bộ hồ sơ khác không ạ?,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Dạ cho em hỏi là nếu trong học kỳ, em đăng kí 28 chỉ mà chỉ đạt có 25 chỉ, em dự định sẽ đăng ký môn khác 3 chỉ trong HK hè để bù vào vậy thì có tính là em được phép đăng ký môn học của năm tiếp theo không ạ",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Trong quá trình nhập thông tin em có ghi sai thông tin môn tiếng anh lớp 10 từ 8.0 thành 8.4 mong trường xem xét và sửa lại giúp em. Em cảm ơn,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Trường có làm việc vào thứ 7 không ạ?,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Làm sao để biết hồ sơ gửi đi đã hợp lệ hay chưa ạ?,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Cho em hỏi thời gian công bố kết quả phương thức 1.1 Xét tuyển thẳng theo quy định của Bộ Giáo dục & Đào tạo và ĐHQG-HCM ạ?,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Dạ cho em hỏi ngành logistic bên trường có xét theo khối C k ạ,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Cho em hỏi công thức tính điểm phương thức 5 Xét tuyển kết hợp nhiều tiêu chí ạ?,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
KTX bách khoa ở quận 10 có gần trường không ạ?,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Thầy cô ơi cho e hỏi là khi nào công bố điểm chuẩn phương thức utxt 2 ạ,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Cho em hỏi còn đợt nộp hồ sơ cho chương trình đào tạo thạc sĩ phương thức tuyển thẳng nào không. Do em chưa chuẩn bị đủ hồ sơ nên đợt nộp ngày 16/6/2023 em không thể nộp kịp. Em mong được phản hồi. xin cám ơn admin,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Cho em hỏi trường xét phương thức kết hợp 5 là vào ngày mấy ạ,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Cho em hỏi học phí ngành khoa học máy tính chương trình giảng dạy bằng tiếng Anh của trường được không ạ?,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Cho em hỏi là PT5 xét tuyển thì không có ĐGNL có đủ điều kiện xét không ạ,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Cho em hỏi phương thức kết hợp khi nào mới có điểm chuẩn ạ,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
"Dạ em là thí sinh chuẩn bị thi đại học năm nay, em có nguyện vọng vào Bách Khoa nhưng lúc tạo tài khoản trên mybk em bị quên mật khẩu thì giờ em phải làm sao đây ạ",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Dạ cho em hỏi trọng số các tiêu chí điểm trong phương thức 5 là bao nhiêu ạ?,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Khoa KH & KT Máy tính có chương trình dành cho người vừa đi làm vừa đi học hay không? Thí sinh cần tham gia thi tuyển hay chỉ cần xét tuyển?,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
