Q,I
chương trình tiên tiến là gì?,14
em muốn hỏi về phương thức 2 ưu tiên xét tuyển,1
em muốn hỏi về phương thức 2,1
em muốn hỏi về diện ưu tiên xét tuyển,1
em muốn hỏi về các phương thức,1
khoa có những ngành học nào?,6
học phí của trường,7
phương thức xét tuyển 5,1
các phương thức xét tuyển của trường,1
Học phí của cơ điện tử,7
"em đã trúng tuyển vào trường, vậy em phải làm thế nào để đăng ký môn học",18
"em muốn thay đổi thứ tự nguyện vọng trên trang web, em phải làm thế nào",21
học phí của trường như thế nào ạ,7
em học khoa máy tính thì sau này có dễ tìm việc không,8
khi nào thì trường có kết quả tuyển sinh,19
giữa khoa học máy tính (khmt) và kĩ thuật máy tính (ktmt) thì ngành nào khó hơn ạ,4
em không muốn học chính quy nữa mà muốn học chương trình vừa học vừa làm (vhvl),5
trường có ngành nào xét khối D không ạ,20
em cần học giỏi những môn nào nếu muốn vào khoa máy tính,11
khi vào trường thì em có thể lấy học bổng du học được không,10
trong hồ sơ tuyển sinh của em có cần có bằng IELTS không,3
chừng nào thì trường bắt đầu xét tuyển phương thức 5,2
